Variable Name	Variable Description	Data File Name	Data File Description	Begin Year	EndYear	Component	Use Constraints
SEQN	Respondent sequence number.	CHLMDA_I	Chlamydia - Urine	2015	2016	Laboratory	None
URXUCL	Chlamydia, Urine	CHLMDA_I	Chlamydia - Urine	2015	2016	Laboratory	None
SEQN	Respondent sequence number	CHLM_I_R	Chlamydia - Urine - Youth	2015	2016	Laboratory	RDC Only
URXUCL	Chlamydia, Urine	CHLM_I_R	Chlamydia - Urine - Youth	2015	2016	Laboratory	RDC Only
SEQN	Respondent sequence number.	TRICH_I	Trichomonas - Urine	2015	2016	Laboratory	None
URXUTRI	Trichomonas, Urine	TRICH_I	Trichomonas - Urine	2015	2016	Laboratory	None
SEQN	Respondent sequence number.	TRIC_I_R	Trichomonas - Urine - Youth	2015	2016	Laboratory	RDC Only
URXUTRI	Trichomonas, Urine	TRIC_I_R	Trichomonas - Urine - Youth	2015	2016	Laboratory	RDC Only
LBXGH	Glycohemoglobin (%)	GHB_I	Glycohemoglobin	2015	2016	Laboratory	None
SEQN	Respondent sequence number.	GHB_I	Glycohemoglobin	2015	2016	Laboratory	None
LBDBANO	Basophils number (1000 cells/uL)	CBC_I	Complete Blood Count with 5-Part Differential - Whole Blood	2015	2016	Laboratory	None
LBDEONO	Eosinophils number (1000 cells/uL)	CBC_I	Complete Blood Count with 5-Part Differential - Whole Blood	2015	2016	Laboratory	None
LBDLYMNO	Lymphocyte number (1000 cells/uL)	CBC_I	Complete Blood Count with 5-Part Differential - Whole Blood	2015	2016	Laboratory	None
LBDMONO	Monocyte number (1000 cells/uL)	CBC_I	Complete Blood Count with 5-Part Differential - Whole Blood	2015	2016	Laboratory	None
LBDNENO	Segmented neutrophils number (1000 cell/uL)	CBC_I	Complete Blood Count with 5-Part Differential - Whole Blood	2015	2016	Laboratory	None
LBXBAPCT	Basophils percent (%)	CBC_I	Complete Blood Count with 5-Part Differential - Whole Blood	2015	2016	Laboratory	None
LBXEOPCT	Eosinophils percent (%)	CBC_I	Complete Blood Count with 5-Part Differential - Whole Blood	2015	2016	Laboratory	None
LBXHCT	Hematocrit (%)	CBC_I	Complete Blood Count with 5-Part Differential - Whole Blood	2015	2016	Laboratory	None
LBXHGB	Hemoglobin (g/dL)	CBC_I	Complete Blood Count with 5-Part Differential - Whole Blood	2015	2016	Laboratory	None
LBXLYPCT	Lymphocyte percent (%)	CBC_I	Complete Blood Count with 5-Part Differential - Whole Blood	2015	2016	Laboratory	None
LBXMC	Mean Cell Hemoglobin Concentration (g/dL)	CBC_I	Complete Blood Count with 5-Part Differential - Whole Blood	2015	2016	Laboratory	None
LBXMCHSI	Mean cell hemoglobin (pg)	CBC_I	Complete Blood Count with 5-Part Differential - Whole Blood	2015	2016	Laboratory	None
LBXMCVSI	Mean cell volume (fL)	CBC_I	Complete Blood Count with 5-Part Differential - Whole Blood	2015	2016	Laboratory	None
LBXMOPCT	Monocyte percent (%)	CBC_I	Complete Blood Count with 5-Part Differential - Whole Blood	2015	2016	Laboratory	None
LBXMPSI	Mean platelet volume (fL)	CBC_I	Complete Blood Count with 5-Part Differential - Whole Blood	2015	2016	Laboratory	None
LBXNEPCT	Segmented neutrophils percent (%)	CBC_I	Complete Blood Count with 5-Part Differential - Whole Blood	2015	2016	Laboratory	None
LBXPLTSI	Platelet count (1000 cells/uL)	CBC_I	Complete Blood Count with 5-Part Differential - Whole Blood	2015	2016	Laboratory	None
LBXRBCSI	Red blood cell count (million cells/uL)	CBC_I	Complete Blood Count with 5-Part Differential - Whole Blood	2015	2016	Laboratory	None
LBXRDW	Red cell distribution width (%)	CBC_I	Complete Blood Count with 5-Part Differential - Whole Blood	2015	2016	Laboratory	None
LBXWBCSI	White blood cell count (1000 cells/uL)	CBC_I	Complete Blood Count with 5-Part Differential - Whole Blood	2015	2016	Laboratory	None
SEQN	Respondent sequence number.	CBC_I	Complete Blood Count with 5-Part Differential - Whole Blood	2015	2016	Laboratory	None
SEQN	Respondent sequence number.	ALB_CR_I	Albumin & Creatinine - Urine	2015	2016	Laboratory	None
URDACT	Albumin creatinine ratio (mg/g)	ALB_CR_I	Albumin & Creatinine - Urine	2015	2016	Laboratory	None
URDUCRLC	Creatinine, urine comment code	ALB_CR_I	Albumin & Creatinine - Urine	2015	2016	Laboratory	None
URDUMALC	Albumin, urine comment code	ALB_CR_I	Albumin & Creatinine - Urine	2015	2016	Laboratory	None
URXCRS	Creatinine, urine (umol/L)	ALB_CR_I	Albumin & Creatinine - Urine	2015	2016	Laboratory	None
URXUCR	Creatinine, urine (mg/dL)	ALB_CR_I	Albumin & Creatinine - Urine	2015	2016	Laboratory	None
URXUMA	Albumin, urine (ug/mL)	ALB_CR_I	Albumin & Creatinine - Urine	2015	2016	Laboratory	None
URXUMS	Albumin, urine (mg/L)	ALB_CR_I	Albumin & Creatinine - Urine	2015	2016	Laboratory	None
PHAALCHR	The time (in hours) the examinee last drank alcohol such as beer, wine, or liquor.	FASTQX_I	Fasting Questionnaire	2015	2016	Laboratory	None
PHAALCMN	The time (in minutes) the examinee last drank alcohol such as beer, wine, or liquor.	FASTQX_I	Fasting Questionnaire	2015	2016	Laboratory	None
PHAANTHR	The time (in hours) the examinee last had antacids, laxatives or anti-diarrheals.	FASTQX_I	Fasting Questionnaire	2015	2016	Laboratory	None
PHAANTMN	The time (in minutes) the examinee last had antacids, laxatives or anti-diarrheals.	FASTQX_I	Fasting Questionnaire	2015	2016	Laboratory	None
PHACOFHR	The time (in hours) since the examinee last drank coffee or tea with cream or sugar.	FASTQX_I	Fasting Questionnaire	2015	2016	Laboratory	None
PHACOFMN	The time (in minutes) since the examinee last drank coffee or tea with cream or sugar.	FASTQX_I	Fasting Questionnaire	2015	2016	Laboratory	None
PHAFSTHR	The time (in hours) between when the examinee last ate or drank anything other than water and the time of the venipuncture.	FASTQX_I	Fasting Questionnaire	2015	2016	Laboratory	None
PHAFSTMN	The time (in minutes) between when the examinee last ate or drank anything other than water and the time of the venipuncture.	FASTQX_I	Fasting Questionnaire	2015	2016	Laboratory	None
PHAGUMHR	The time (in hours) the examinee last had gum, breath mints, lozenges or cough drops, or other cough or cold remedies.	FASTQX_I	Fasting Questionnaire	2015	2016	Laboratory	None
PHAGUMMN	The time (in minutes) the examinee last had gum, breath mints, lozenges or cough drops, or other cough or cold remedies.	FASTQX_I	Fasting Questionnaire	2015	2016	Laboratory	None
PHASUPHR	The time (in hours) the examinee last had dietary supplements such as vitamins and minerals.	FASTQX_I	Fasting Questionnaire	2015	2016	Laboratory	None
PHASUPMN	The time (in minutes) the examinee last had dietary supplements such as vitamins and minerals.	FASTQX_I	Fasting Questionnaire	2015	2016	Laboratory	None
PHDSESN	Session in which SP was examined	FASTQX_I	Fasting Questionnaire	2015	2016	Laboratory	None
PHQ020	Coffee or tea with cream or sugar? [Include milk or non-dairy creamers.]	FASTQX_I	Fasting Questionnaire	2015	2016	Laboratory	None
PHQ030	Alcohol, such as beer, wine, or liquor?	FASTQX_I	Fasting Questionnaire	2015	2016	Laboratory	None
PHQ040	Gum, breath mints, lozenges or cough drops, or other cough or cold remedies?	FASTQX_I	Fasting Questionnaire	2015	2016	Laboratory	None
PHQ050	Antacids, laxatives, or anti-diarrheals?	FASTQX_I	Fasting Questionnaire	2015	2016	Laboratory	None
PHQ060	Dietary supplements such as vitamins and minerals? [Include multivitamins and single nutrient supplements.]	FASTQX_I	Fasting Questionnaire	2015	2016	Laboratory	None
SEQN	Respondent sequence number.	FASTQX_I	Fasting Questionnaire	2015	2016	Laboratory	None
LBXHA	Hepatitis A antibody	HEPA_I	Hepatitis A	2015	2016	Laboratory	None
SEQN	Respondent sequence number	HEPA_I	Hepatitis A	2015	2016	Laboratory	None
LBXHBS	Hepatitis B Surface Antibody	HEPB_S_I	Hepatitis B: Surface Antibody	2015	2016	Laboratory	None
SEQN	Respondent sequence number	HEPB_S_I	Hepatitis B: Surface Antibody	2015	2016	Laboratory	None
LBDHBG	Hepatitis B surface antigen	HEPBD_I	Hepatitis B: Core antibody, Surface antigen, and Hepatitis D antibody	2015	2016	Laboratory	None
LBDHD	Hepatitis D (anti-HDV)	HEPBD_I	Hepatitis B: Core antibody, Surface antigen, and Hepatitis D antibody	2015	2016	Laboratory	None
LBXHBC	Hepatitis B core antibody	HEPBD_I	Hepatitis B: Core antibody, Surface antigen, and Hepatitis D antibody	2015	2016	Laboratory	None
SEQN	Respondent sequence number	HEPBD_I	Hepatitis B: Core antibody, Surface antigen, and Hepatitis D antibody	2015	2016	Laboratory	None
LBDHEG	Hepatitis E IgG (anti-HEV)	HEPE_I	Hepatitis E: IgG & IgM Antibodies	2015	2016	Laboratory	None
LBDHEM	Hepatitis E IgM (anti-HEV)	HEPE_I	Hepatitis E: IgG & IgM Antibodies	2015	2016	Laboratory	None
SEQN	Respondent sequence number	HEPE_I	Hepatitis E: IgG & IgM Antibodies	2015	2016	Laboratory	None
LBDSALSI	Albumin, refrigerated serum(g/L)	BIOPRO_I	Standard Biochemistry Profile	2015	2016	Laboratory	None
LBDSBUSI	Blood Urea Nitrogen (mmol/L)	BIOPRO_I	Standard Biochemistry Profile	2015	2016	Laboratory	None
LBDSCASI	Total Calcium (mmol/L)	BIOPRO_I	Standard Biochemistry Profile	2015	2016	Laboratory	None
LBDSCHSI	Cholesterol, refrigerated serum (mmol/L)	BIOPRO_I	Standard Biochemistry Profile	2015	2016	Laboratory	None
LBDSCRSI	Creatinine, refrigerated serum (umol/L)	BIOPRO_I	Standard Biochemistry Profile	2015	2016	Laboratory	None
LBDSGBSI	Globulin (g/L)	BIOPRO_I	Standard Biochemistry Profile	2015	2016	Laboratory	None
LBDSGLSI	Glucose, refrigerated serum (mmol/L)	BIOPRO_I	Standard Biochemistry Profile	2015	2016	Laboratory	None
LBDSIRSI	Iron, refrigerated serum (umol/L)	BIOPRO_I	Standard Biochemistry Profile	2015	2016	Laboratory	None
LBDSPHSI	Phosphorus (mmol/L)	BIOPRO_I	Standard Biochemistry Profile	2015	2016	Laboratory	None
LBDSTBSI	Total Bilirubin (umol/L)	BIOPRO_I	Standard Biochemistry Profile	2015	2016	Laboratory	None
LBDSTPSI	Total Protein (g/L)	BIOPRO_I	Standard Biochemistry Profile	2015	2016	Laboratory	None
LBDSTRSI	Triglycerides, refrig serum (mmol/L)	BIOPRO_I	Standard Biochemistry Profile	2015	2016	Laboratory	None
LBDSUASI	Uric acid (umol/L)	BIOPRO_I	Standard Biochemistry Profile	2015	2016	Laboratory	None
LBXSAL	Albumin, refrigerated serum (g/dL)	BIOPRO_I	Standard Biochemistry Profile	2015	2016	Laboratory	None
LBXSAPSI	Alkaline Phosphatase (ALP) (IU/L)	BIOPRO_I	Standard Biochemistry Profile	2015	2016	Laboratory	None
LBXSASSI	Aspartate Aminotransferase (AST) (U/L)	BIOPRO_I	Standard Biochemistry Profile	2015	2016	Laboratory	None
LBXSATSI	Alanine Aminotransferase (ALT) (U/L)	BIOPRO_I	Standard Biochemistry Profile	2015	2016	Laboratory	None
LBXSBU	Blood Urea Nitrogen (mg/dL)	BIOPRO_I	Standard Biochemistry Profile	2015	2016	Laboratory	None
LBXSC3SI	Bicarbonate (mmol/L)	BIOPRO_I	Standard Biochemistry Profile	2015	2016	Laboratory	None
LBXSCA	Total Calcium (mg/dL)	BIOPRO_I	Standard Biochemistry Profile	2015	2016	Laboratory	None
LBXSCH	Cholesterol, refrigerated serum (mg/dL)	BIOPRO_I	Standard Biochemistry Profile	2015	2016	Laboratory	None
LBXSCK	Creatine Phosphokinase (CPK) (IU/L)	BIOPRO_I	Standard Biochemistry Profile	2015	2016	Laboratory	None
LBXSCLSI	Chloride (mmol/L)	BIOPRO_I	Standard Biochemistry Profile	2015	2016	Laboratory	None
LBXSCR	Creatinine, refrigerated serum (mg/dL)	BIOPRO_I	Standard Biochemistry Profile	2015	2016	Laboratory	None
