Variable Name	Variable Description	Data File Name	Data File Description	Begin Year	EndYear	Component	Use Constraints
ORXH71	HPV Type 71	ORHPV_I	Human Papillomavirus (HPV) - Oral Rinse	2015	2016	Laboratory	None
ORXH72	HPV Type 72	ORHPV_I	Human Papillomavirus (HPV) - Oral Rinse	2015	2016	Laboratory	None
ORXH73	HPV Type 73	ORHPV_I	Human Papillomavirus (HPV) - Oral Rinse	2015	2016	Laboratory	None
ORXH81	HPV Type 81	ORHPV_I	Human Papillomavirus (HPV) - Oral Rinse	2015	2016	Laboratory	None
ORXH82	HPV Type 82	ORHPV_I	Human Papillomavirus (HPV) - Oral Rinse	2015	2016	Laboratory	None
ORXH83	HPV Type 83	ORHPV_I	Human Papillomavirus (HPV) - Oral Rinse	2015	2016	Laboratory	None
ORXH84	HPV Type 84	ORHPV_I	Human Papillomavirus (HPV) - Oral Rinse	2015	2016	Laboratory	None
ORXHPC	HPV CP 6108	ORHPV_I	Human Papillomavirus (HPV) - Oral Rinse	2015	2016	Laboratory	None
ORXHPI	HPV Type IS39	ORHPV_I	Human Papillomavirus (HPV) - Oral Rinse	2015	2016	Laboratory	None
ORXHPV	Oral HPV Result	ORHPV_I	Human Papillomavirus (HPV) - Oral Rinse	2015	2016	Laboratory	None
SEQN	Respondent sequence number.	ORHPV_I	Human Papillomavirus (HPV) - Oral Rinse	2015	2016	Laboratory	None
LBDR06	HPV type 6	HPVSWR_I	Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Linear Array	2015	2016	Laboratory	None
LBDR11	HPV type 11	HPVSWR_I	Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Linear Array	2015	2016	Laboratory	None
LBDR16	HPV type 16	HPVSWR_I	Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Linear Array	2015	2016	Laboratory	None
LBDR18	HPV type 18	HPVSWR_I	Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Linear Array	2015	2016	Laboratory	None
LBDR26	HPV type 26	HPVSWR_I	Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Linear Array	2015	2016	Laboratory	None
LBDR31	HPV type 31	HPVSWR_I	Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Linear Array	2015	2016	Laboratory	None
LBDR33	HPV type 33	HPVSWR_I	Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Linear Array	2015	2016	Laboratory	None
LBDR35	HPV type 35	HPVSWR_I	Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Linear Array	2015	2016	Laboratory	None
LBDR39	HPV type 39	HPVSWR_I	Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Linear Array	2015	2016	Laboratory	None
LBDR40	HPV type 40	HPVSWR_I	Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Linear Array	2015	2016	Laboratory	None
LBDR42	HPV type 42	HPVSWR_I	Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Linear Array	2015	2016	Laboratory	None
LBDR45	HPV type 45	HPVSWR_I	Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Linear Array	2015	2016	Laboratory	None
LBDR51	HPV type 51	HPVSWR_I	Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Linear Array	2015	2016	Laboratory	None
LBDR52	HPV type 52	HPVSWR_I	Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Linear Array	2015	2016	Laboratory	None
LBDR53	HPV type 53	HPVSWR_I	Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Linear Array	2015	2016	Laboratory	None
LBDR54	HPV type 54	HPVSWR_I	Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Linear Array	2015	2016	Laboratory	None
LBDR55	HPV type 55	HPVSWR_I	Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Linear Array	2015	2016	Laboratory	None
LBDR56	HPV type 56	HPVSWR_I	Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Linear Array	2015	2016	Laboratory	None
LBDR58	HPV type 58	HPVSWR_I	Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Linear Array	2015	2016	Laboratory	None
LBDR59	HPV type 59	HPVSWR_I	Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Linear Array	2015	2016	Laboratory	None
LBDR61	HPV type 61	HPVSWR_I	Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Linear Array	2015	2016	Laboratory	None
LBDR62	HPV type 62	HPVSWR_I	Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Linear Array	2015	2016	Laboratory	None
LBDR64	HPV type 64	HPVSWR_I	Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Linear Array	2015	2016	Laboratory	None
LBDR66	HPV type 66	HPVSWR_I	Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Linear Array	2015	2016	Laboratory	None
LBDR67	HPV type 67	HPVSWR_I	Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Linear Array	2015	2016	Laboratory	None
LBDR68	HPV type 68	HPVSWR_I	Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Linear Array	2015	2016	Laboratory	None
LBDR69	HPV type 69	HPVSWR_I	Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Linear Array	2015	2016	Laboratory	None
LBDR70	HPV type 70	HPVSWR_I	Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Linear Array	2015	2016	Laboratory	None
LBDR71	HPV type 71	HPVSWR_I	Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Linear Array	2015	2016	Laboratory	None
LBDR72	HPV type 72	HPVSWR_I	Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Linear Array	2015	2016	Laboratory	None
LBDR73	HPV type 73	HPVSWR_I	Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Linear Array	2015	2016	Laboratory	None
LBDR81	HPV type 81	HPVSWR_I	Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Linear Array	2015	2016	Laboratory	None
LBDR82	HPV type 82	HPVSWR_I	Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Linear Array	2015	2016	Laboratory	None
LBDR83	HPV type 83	HPVSWR_I	Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Linear Array	2015	2016	Laboratory	None
LBDR84	HPV type 84	HPVSWR_I	Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Linear Array	2015	2016	Laboratory	None
LBDR89	HPV type 89	HPVSWR_I	Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Linear Array	2015	2016	Laboratory	None
LBDRHP	Roche LA high positive globin control	HPVSWR_I	Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Linear Array	2015	2016	Laboratory	None
LBDRLP	Roche LA low positive globin control	HPVSWR_I	Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Linear Array	2015	2016	Laboratory	None
LBDRPCR	Roche HPV linear array (LA) summary result	HPVSWR_I	Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Linear Array	2015	2016	Laboratory	None
LBDRPI	HPV type IS39	HPVSWR_I	Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Linear Array	2015	2016	Laboratory	None
