Lake 0 191 3 169 1 172 0 173 0 170 0.0 83.0 1.3 73.4 0.4 74.7 0.0 75.4 0.0 74.1
Lawrence 7 230 23 215 4 223 9 217 1 224 11.6 381.7 38.2 356.9 6.7 375.0 15.2 367.2 1.7 379.1
Licking 2 211 3 175 13 153 6 106 4 116 1.2 121.7 1.7 100.9 7.4 86.5 3.4 59.5 2.2 65.1
Logan 1 52 0 54 2 49 0 39 1 38 2.2 114.7 0.0 119.1 4.4 107.3 0.0 86.0 2.2 83.8
Lorain 0 483 1 392 2 368 15 336 1 301 0.0 156.9 0.3 127.3 0.6 118.8 4.8 107.6 0.3 96.4
Lucas 1 1,004 4 894 0 603 3 577 1 523 0.2 233.0 0.9 207.5 0.0 140.8 0.7 134.7 0.2 122.1
Madison 1 82 0 74 1 36 0 24 1 31 2.3 186.2 0.0 168.0 2.2 80.5 0.0 53.9 2.2 69.6
Mahoning 3 365 5 325 5 260 4 261 4 212 1.3 158.8 2.2 141.4 2.2 113.7 1.8 115.4 1.8 93.8
Marion 0 166 3 168 8 111 1 88 2 102 0.0 255.5 4.6 258.6 12.3 170.5 1.5 135.8 3.1 157.4
Medina 0 141 1 86 6 68 1 81 0 78 0.0 79.0 0.6 48.2 3.3 37.8 0.6 44.8 0.0 43.1
Meigs 1 77 4 67 1 43 1 33 0 25 4.3 333.6 17.3 290.3 4.4 187.7 4.4 145.5 0.0 110.2
Mercer 0 19 2 31 3 16 1 24 0 14 0.0 46.5 4.9 75.8 7.3 38.9 2.4 58.1 0.0 33.9
Miami 2 143 7 124 4 84 3 74 0 67 1.9 136.0 6.7 118.0 3.7 78.5 2.8 68.8 0.0 62.3
Monroe 0 12 0 14 1 14 1 9 0 11 0.0 86.0 0.0 100.4 7.3 102.5 7.4 66.2 0.0 81.0
Montgomery 12 1418 31 975 6 899 3 563 2 521 2.3 266.8 5.8 183.4 1.1 169.1 0.6 105.9 0.4 98.0
Morgan 1 28 1 27 0 33 3 19 0 23 6.8 190.4 6.8 183.6 0.0 227.5 21.0 132.8 0.0 160.8
Morrow 0 51 0 39 9 50 0 21 0 25 0.0 145.7 0.0 111.4 25.5 141.5 0.0 59.3 0.0 70.6
Muskingum 2 149 7 158 8 109 7 86 7 74 2.3 173.0 8.1 183.4 9.3 126.4 8.1 100.0 8.1 86.0
Noble 0 29 1 18 3 17 0 11 0 11 0.0 201.3 6.9 124.9 20.8 117.9 0.0 76.6 0.0 76.6
Ottawa 1 60 1 61 0 32 0 38 0 33 2.5 147.6 2.5 150.0 0.0 79.0 0.0 94.4 0.0 82.0
Paulding 0 18 0 10 1 14 0 7 0 4 0.0 95.5 0.0 53.1 5.4 75.0 0.0 37.5 0.0 21.5
Perry 1 86 2 58 4 50 1 33 2 33 2.8 238.7 5.6 161.0 11.1 138.4 2.8 91.1 5.5 91.1
Pickaway 1 127 8 96 4 92 1 71 0 62 1.7 219.6 13.8 166.0 6.8 157.4 1.7 121.0 0.0 105.7
Pike 1 136 6 128 4 126 1 90 1 100 3.5 481.1 21.2 452.8 14.4 453.7 3.6 325.0 3.6 361.1
Portage 3 179 3 130 5 139 2 123 1 116 1.8 110.3 1.8 80.1 3.1 85.6 1.2 75.7 0.6 71.3
Preble 3 75 6 67 4 71 1 55 1 43 7.3 182.4 14.6 162.9 9.8 173.7 2.4 134.7 2.4 105.3
Putnam 0 11 0 10 0 10 0 5 0 9 0.0 32.5 0.0 29.5 0.0 29.5 0.0 14.9 0.0 26.7
Richland 5 205 1 206 3 152 1 137 2 111 4.1 170.0 0.8 170.8 2.5 125.5 0.8 113.3 1.7 91.8
Ross 1 227 11 178 13 192 1 166 1 129 1.3 293.6 14.2 230.2 17.0 250.4 1.3 217.2 1.3 168.8
Sandusky 2 74 3 66 0 52 1 61 0 60 3.4 125.0 5.1 111.5 0.0 88.9 1.7 104.5 0.0 102.8
Scioto 4 275 8 286 7 291 4 217 1 220 5.3 362.2 10.5 376.7 9.3 386.4 5.4 291.9 1.3 295.9
Seneca 2 75 3 73 1 52 1 47 9 36 3.6 135.8 5.4 132.1 1.8 94.2 1.8 85.6 16.4 65.5
Shelby 0 64 0 31 2 41 0 25 1 24 0.0 131.3 0.0 63.6 4.1 84.4 0.0 51.7 2.1 49.7
Stark 3 324 6 314 4 321 10 222 10 212 0.8 87.0 1.6 84.3 1.1 86.6 2.7 60.0 2.7 57.3
Summit 14 840 13 737 35 676 6 537 4 524 2.6 155.2 2.4 136.2 6.5 125.0 1.1 99.7 0.7 97.2
Trumbull 2 413 5 300 7 324 12 238 2 211 1.0 206.1 2.5 149.7 3.5 163.7 6.1 120.9 1.0 107.2
Tuscarawas 0 67 3 66 3 66 3 62 3 57 0.0 72.6 3.3 71.5 3.3 71.7 3.3 67.6 3.3 62.1
Union 1 105 0 60 1 72 0 40 1 37 1.8 185.1 0.0 105.7 1.7 122.1 0.0 66.6 1.7 61.6
Van Wert 1 32 0 23 2 29 2 20 1 34 3.5 113.4 0.0 81.5 7.1 102.6 7.1 71.0 3.6 120.7
Vinton 0 33 2 25 1 14 3 21 1 16 0.0 252.1 15.3 191.0 7.6 107.0 23.1 161.9 7.7 123.3
Warren 3 315 3 227 8 217 4 176 2 186 1.3 137.6 1.3 99.2 3.4 92.5 1.7 73.8 0.8 78.0
Washington 3 117 8 97 3 98 2 78 5 82 5.0 193.7 13.2 160.5 5.0 163.6 3.4 130.8 8.4 137.5
Wayne 0 85 3 108 8 117 6 76 3 78 0.0 73.3 2.6 93.1 6.9 101.1 5.2 65.7 2.6 67.4
Williams 0 44 2 36 2 33 0 24 1 18 0.0 119.6 5.4 97.9 5.5 89.9 0.0 65.6 2.7 49.2
Wood 1 110 1 91 1 99 0 69 0 68 0.8 84.3 0.8 69.7 0.8 75.7 0.0 52.6 0.0 51.9
Wyandot 1 15 1 20 1 17 1 20 0 16 4.5 68.1 4.5 90.8 4.6 78.1 4.6 92.1 0.0 73.7
Not Specified 3 515 0 311 0 222 0 708 0 509 - - - - - - - - - -
Corrections3 12 1,793 13 1,397 6 1,217 3 738 1 749 - - - - - - - - - -
