	RepWeekDate	Antigen Detection	Virus Isolation	PCR Detection
1	05/08/21	9.669	0.000	1.707
2	05/15/21	15.503	0.000	2.273
3	05/22/21	17.521	0.000	2.644
4	05/29/21	19.346	0.000	3.019
5	06/05/21	22.150	0.000	4.276
6	06/12/21	23.135	0.000	4.747
7	06/19/21	22.949	0.000	6.340
8	06/26/21	25.354	0.000	8.162
9	07/03/21	28.056	0.000	9.581
10	07/10/21	15.963	0.000	9.765
11	07/17/21	18.929	0.000	10.621
12	07/24/21	19.646	0.000	12.519
13	07/31/21	15.998	0.000	14.005
14	08/07/21	14.968	0.000	13.500
15	08/14/21	12.113	1.471	13.546
16	08/21/21	15.562	1.282	14.691
17	08/28/21	15.806	6.154	13.326
18	09/04/21	12.011	0.000	13.420
19	09/11/21	13.209	0.000	13.079
20	09/18/21	12.699	0.000	12.779
21	09/25/21	11.733	0.000	12.652
22	10/02/21	11.990	0.000	12.624
23	10/09/21	11.997	1.190	12.228
24	10/16/21	11.060	0.000	10.712
25	10/23/21	9.763	1.111	10.527
26	10/30/21	8.822	0.000	9.237
27	11/06/21	7.373	0.000	9.010
28	11/13/21	7.006	0.000	8.361
29	11/20/21	5.775	0.000	7.545
30	11/27/21	5.621	0.000	6.995
31	12/04/21	4.817	0.000	6.823
32	12/11/21	4.998	0.000	5.934
33	12/18/21	3.862	0.000	4.988
34	12/25/21	3.460	0.000	4.266
35	01/01/22	2.283	0.000	3.434
36	01/08/22	2.015	0.000	3.198
37	01/15/22	2.197	0.000	2.223
38	01/22/22	1.872	0.000	2.065
39	01/29/22	1.389	0.000	1.710
40	02/05/22	1.542	0.000	1.536
41	02/12/22	1.306	0.000	1.411
42	02/19/22	1.733	0.000	1.316
43	02/26/22	1.656	2.326	1.192
44	03/05/22	1.564	0.000	1.099
45	03/12/22	1.038	0.000	1.182
46	03/19/22	1.605	0.000	1.083
47	03/26/22	1.958	0.000	1.019
48	04/02/22	2.152	3.030	1.030
49	04/09/22	2.481	3.922	1.044
50	04/16/22	2.795	0.000	1.060
51	04/23/22	2.650	0.000	1.138
52	04/30/22	3.145	0.000	1.368
53	05/07/22	3.520	0.000	1.355
54	05/14/22	4.412	3.704	1.641
55	05/21/22	4.899	0.000	1.779
56	05/28/22	5.288	0.000	1.985
57	06/04/22	6.026	2.632	2.628
58	06/11/22	7.654	0.000	2.746
59	06/18/22	7.347	0.000	3.076
60	06/25/22	7.651	0.000	3.057
61	07/02/22	6.975	0.000	3.272
62	07/09/22	5.019	0.778	3.053
63	07/16/22	4.342	1.036	2.751
64	07/23/22	4.610	1.066	3.058
65	07/30/22	5.275	0.994	2.977
66	08/06/22	3.711	1.019	2.959
67	08/13/22	3.877	1.077	3.192
68	08/20/22	4.429	1.182	3.102
69	08/27/22	4.665	1.778	3.654
70	09/03/22	7.714	1.650	4.147
71	09/10/22	8.642	2.046	5.272
72	09/17/22	10.615	3.005	6.391
73	09/24/22	13.696	3.728	8.222
74	10/01/22	15.297	5.786	10.353
75	10/08/22	15.647	8.252	12.649
76	10/15/22	16.108	9.097	14.907
77	10/22/22	15.566	12.820	16.734
78	10/29/22	13.870	13.674	18.469
79	11/05/22	13.526	14.760	19.161
80	11/12/22	14.771	15.923	19.485
81	11/19/22	14.372	14.206	16.629
82	11/26/22	11.926	11.819	13.385
83	12/03/22	8.792	9.425	10.418
84	12/10/22	8.112	7.517	7.839
85	12/17/22	6.958	6.684	6.678
86	12/24/22	5.862	6.155	5.578
87	12/31/22	5.672	5.694	5.150
88	01/07/23	4.393	6.525	4.906
89	01/14/23	3.683	5.334	4.045
90	01/21/23	2.990	4.804	3.304
91	01/28/23	2.796	3.367	2.485
92	02/04/23	2.866	3.033	2.216
93	02/11/23	2.713	2.601	1.787
94	02/18/23	2.554	2.219	1.603
95	02/25/23	2.300	2.381	1.349
96	03/04/23	2.092	0.000	1.232
97	03/11/23	1.877	0.000	1.049
98	03/18/23	1.878	2.000	0.914
99	03/25/23	1.474	2.326	0.807
100	04/01/23	1.289	0.000	0.713
101	04/08/23	1.360	0.000	0.598
102	04/15/23	1.295	0.000	0.563
103	04/22/23	0.873	0.000	0.496
104	04/29/23	0.738	0.000	0.528
