Study	Bioproject	Sample
Rothman 2021	PRJNA729801	SRR14530841
Rothman 2021	PRJNA729801	SRR14530842
Rothman 2021	PRJNA729801	SRR14530843
Rothman 2021	PRJNA729801	SRR14530844
Rothman 2021	PRJNA729801	SRR14530845
Rothman 2021	PRJNA729801	SRR14530846
Rothman 2021	PRJNA729801	SRR14530847
Rothman 2021	PRJNA729801	SRR14530848
Rothman 2021	PRJNA729801	SRR14530849
Rothman 2021	PRJNA729801	SRR14530850
Rothman 2021	PRJNA729801	SRR14530851
Rothman 2021	PRJNA729801	SRR14530852
Rothman 2021	PRJNA729801	SRR14530853
Rothman 2021	PRJNA729801	SRR14530854
Rothman 2021	PRJNA729801	SRR14530855
Rothman 2021	PRJNA729801	SRR14530856
Rothman 2021	PRJNA729801	SRR14530857
Rothman 2021	PRJNA729801	SRR14530858
Rothman 2021	PRJNA729801	SRR14530859
Rothman 2021	PRJNA729801	SRR14530860
Rothman 2021	PRJNA729801	SRR14530861
Rothman 2021	PRJNA729801	SRR14530862
Rothman 2021	PRJNA729801	SRR14530863
Rothman 2021	PRJNA729801	SRR14530864
Rothman 2021	PRJNA729801	SRR14530865
Rothman 2021	PRJNA729801	SRR14530866
Rothman 2021	PRJNA729801	SRR14530867
Rothman 2021	PRJNA729801	SRR14530868
Rothman 2021	PRJNA729801	SRR14530869
Rothman 2021	PRJNA729801	SRR14530870
Rothman 2021	PRJNA729801	SRR14530871
Rothman 2021	PRJNA729801	SRR14530872
Rothman 2021	PRJNA729801	SRR14530873
Rothman 2021	PRJNA729801	SRR14530874
Rothman 2021	PRJNA729801	SRR14530875
Rothman 2021	PRJNA729801	SRR14530876
Rothman 2021	PRJNA729801	SRR14530877
Rothman 2021	PRJNA729801	SRR14530878
Rothman 2021	PRJNA729801	SRR14530879
Rothman 2021	PRJNA729801	SRR14530880
Rothman 2021	PRJNA729801	SRR14530881
Rothman 2021	PRJNA729801	SRR14530882
Rothman 2021	PRJNA729801	SRR14530883
Rothman 2021	PRJNA729801	SRR14530884
Rothman 2021	PRJNA729801	SRR14530885
Rothman 2021	PRJNA729801	SRR14530886
Rothman 2021	PRJNA729801	SRR14530887
Rothman 2021	PRJNA729801	SRR14530888
Rothman 2021	PRJNA729801	SRR14530889
Rothman 2021	PRJNA729801	SRR14530890
Rothman 2021	PRJNA729801	SRR14530891
Rothman 2021	PRJNA729801	SRR14530892
Rothman 2021	PRJNA729801	SRR14530893
Rothman 2021	PRJNA729801	SRR14530894
Rothman 2021	PRJNA729801	SRR14530895
Rothman 2021	PRJNA729801	SRR14530896
Rothman 2021	PRJNA729801	SRR14530897
Rothman 2021	PRJNA729801	SRR14530898
Rothman 2021	PRJNA729801	SRR14530899
Rothman 2021	PRJNA729801	SRR14530900
Rothman 2021	PRJNA729801	SRR14530901
Rothman 2021	PRJNA729801	SRR14530902
Rothman 2021	PRJNA729801	SRR14530903
Rothman 2021	PRJNA729801	SRR18340958
Rothman 2021	PRJNA729801	SRR18340959
Rothman 2021	PRJNA729801	SRR18340960
Rothman 2021	PRJNA729801	SRR18340961
Rothman 2021	PRJNA729801	SRR18340962
Rothman 2021	PRJNA729801	SRR18340963
Rothman 2021	PRJNA729801	SRR18340964
Rothman 2021	PRJNA729801	SRR18340965
Rothman 2021	PRJNA729801	SRR18340966
Rothman 2021	PRJNA729801	SRR18340967
Rothman 2021	PRJNA729801	SRR18340968
Rothman 2021	PRJNA729801	SRR18340969
Rothman 2021	PRJNA729801	SRR18340970
Rothman 2021	PRJNA729801	SRR18340971
Rothman 2021	PRJNA729801	SRR18340972
Rothman 2021	PRJNA729801	SRR18340973
Rothman 2021	PRJNA729801	SRR18340974
Rothman 2021	PRJNA729801	SRR18340975
Rothman 2021	PRJNA729801	SRR18340976
Rothman 2021	PRJNA729801	SRR18340977
Rothman 2021	PRJNA729801	SRR18340978
Rothman 2021	PRJNA729801	SRR18340979
Rothman 2021	PRJNA729801	SRR18340980
Rothman 2021	PRJNA729801	SRR18340981
Rothman 2021	PRJNA729801	SRR18340982
Rothman 2021	PRJNA729801	SRR18340983
Rothman 2021	PRJNA729801	SRR18340984
Rothman 2021	PRJNA729801	SRR18340985
Rothman 2021	PRJNA729801	SRR18340986
Rothman 2021	PRJNA729801	SRR18340987
Rothman 2021	PRJNA729801	SRR18340988
Rothman 2021	PRJNA729801	SRR18340989
Rothman 2021	PRJNA729801	SRR18340990
Rothman 2021	PRJNA729801	SRR18340991
Rothman 2021	PRJNA729801	SRR18340992
Rothman 2021	PRJNA729801	SRR18340993
Rothman 2021	PRJNA729801	SRR18340994
Rothman 2021	PRJNA729801	SRR18340995
Rothman 2021	PRJNA729801	SRR18340996
Rothman 2021	PRJNA729801	SRR18340997
Rothman 2021	PRJNA729801	SRR18340998
Rothman 2021	PRJNA729801	SRR18340999
Rothman 2021	PRJNA729801	SRR18341000
Rothman 2021	PRJNA729801	SRR18341001
Rothman 2021	PRJNA729801	SRR18341002
Rothman 2021	PRJNA729801	SRR18341003
Rothman 2021	PRJNA729801	SRR18341004
Rothman 2021	PRJNA729801	SRR18341005
Rothman 2021	PRJNA729801	SRR18341006
Rothman 2021	PRJNA729801	SRR18341007
Rothman 2021	PRJNA729801	SRR18341008
Rothman 2021	PRJNA729801	SRR18341009
Rothman 2021	PRJNA729801	SRR18341010
Rothman 2021	PRJNA729801	SRR18341011
Rothman 2021	PRJNA729801	SRR18341012
Rothman 2021	PRJNA729801	SRR18341013
Rothman 2021	PRJNA729801	SRR18341014
Rothman 2021	PRJNA729801	SRR18341015
Rothman 2021	PRJNA729801	SRR18341016
Rothman 2021	PRJNA729801	SRR18341017
Rothman 2021	PRJNA729801	SRR18341018
Rothman 2021	PRJNA729801	SRR18341019
Rothman 2021	PRJNA729801	SRR18341020
Rothman 2021	PRJNA729801	SRR18341021
Rothman 2021	PRJNA729801	SRR18341022
Rothman 2021	PRJNA729801	SRR18341023
Rothman 2021	PRJNA729801	SRR18341024
Rothman 2021	PRJNA729801	SRR18341025
Rothman 2021	PRJNA729801	SRR18341026
Rothman 2021	PRJNA729801	SRR18341027
Rothman 2021	PRJNA729801	SRR18341028
Rothman 2021	PRJNA729801	SRR18341029
Rothman 2021	PRJNA729801	SRR18341030
Rothman 2021	PRJNA729801	SRR18341031
Rothman 2021	PRJNA729801	SRR18341032
Rothman 2021	PRJNA729801	SRR18341033
Rothman 2021	PRJNA729801	SRR18341034
Rothman 2021	PRJNA729801	SRR18341035
Rothman 2021	PRJNA729801	SRR18341036
Rothman 2021	PRJNA729801	SRR18341037
Rothman 2021	PRJNA729801	SRR18341038
Rothman 2021	PRJNA729801	SRR18341039
Rothman 2021	PRJNA729801	SRR18341040
Rothman 2021	PRJNA729801	SRR18341041
Rothman 2021	PRJNA729801	SRR18341042
Rothman 2021	PRJNA729801	SRR18341043
Rothman 2021	PRJNA729801	SRR18341044
Rothman 2021	PRJNA729801	SRR18341045
Rothman 2021	PRJNA729801	SRR18341046
Rothman 2021	PRJNA729801	SRR18341047
Rothman 2021	PRJNA729801	SRR18341048
Rothman 2021	PRJNA729801	SRR18341049
Rothman 2021	PRJNA729801	SRR18341050
Rothman 2021	PRJNA729801	SRR18341051
Rothman 2021	PRJNA729801	SRR18341052
Rothman 2021	PRJNA729801	SRR18341053
Rothman 2021	PRJNA729801	SRR18341054
Rothman 2021	PRJNA729801	SRR18341055
Rothman 2021	PRJNA729801	SRR18341056
Rothman 2021	PRJNA729801	SRR18341057
Rothman 2021	PRJNA729801	SRR18341058
Rothman 2021	PRJNA729801	SRR18341059
Rothman 2021	PRJNA729801	SRR18341060
Rothman 2021	PRJNA729801	SRR18341061
Rothman 2021	PRJNA729801	SRR18341062
Rothman 2021	PRJNA729801	SRR18341063
Rothman 2021	PRJNA729801	SRR18341064
Rothman 2021	PRJNA729801	SRR18341065
Rothman 2021	PRJNA729801	SRR18341066
Rothman 2021	PRJNA729801	SRR18341067
Rothman 2021	PRJNA729801	SRR18341068
Rothman 2021	PRJNA729801	SRR18341069
Rothman 2021	PRJNA729801	SRR18341070
Rothman 2021	PRJNA729801	SRR18341071
Rothman 2021	PRJNA729801	SRR18341072
Rothman 2021	PRJNA729801	SRR18341073
Rothman 2021	PRJNA729801	SRR18341074
Rothman 2021	PRJNA729801	SRR18341075
Rothman 2021	PRJNA729801	SRR18341076
Rothman 2021	PRJNA729801	SRR18341077
Rothman 2021	PRJNA729801	SRR18341078
Rothman 2021	PRJNA729801	SRR18341079
Rothman 2021	PRJNA729801	SRR18341080
Rothman 2021	PRJNA729801	SRR18341081
Rothman 2021	PRJNA729801	SRR18341082
Rothman 2021	PRJNA729801	SRR18341083
Rothman 2021	PRJNA729801	SRR18341084
Rothman 2021	PRJNA729801	SRR18341085
Rothman 2021	PRJNA729801	SRR18341086
Rothman 2021	PRJNA729801	SRR18341087
Rothman 2021	PRJNA729801	SRR18341088
Rothman 2021	PRJNA729801	SRR18341089
Rothman 2021	PRJNA729801	SRR18341090
Rothman 2021	PRJNA729801	SRR18341091
Rothman 2021	PRJNA729801	SRR18341092
Rothman 2021	PRJNA729801	SRR18341093
Rothman 2021	PRJNA729801	SRR18341094
Rothman 2021	PRJNA729801	SRR18341095
Rothman 2021	PRJNA729801	SRR18341096
Rothman 2021	PRJNA729801	SRR18341097
Rothman 2021	PRJNA729801	SRR18341098
Rothman 2021	PRJNA729801	SRR18341099
Rothman 2021	PRJNA729801	SRR18341100
Rothman 2021	PRJNA729801	SRR18341101
Rothman 2021	PRJNA729801	SRR18341102
Rothman 2021	PRJNA729801	SRR18341103
Rothman 2021	PRJNA729801	SRR18341104
Rothman 2021	PRJNA729801	SRR18341105
Rothman 2021	PRJNA729801	SRR18341106
Rothman 2021	PRJNA729801	SRR18341107
Rothman 2021	PRJNA729801	SRR18341108
Rothman 2021	PRJNA729801	SRR18341109
Rothman 2021	PRJNA729801	SRR18341110
Rothman 2021	PRJNA729801	SRR18341111
Rothman 2021	PRJNA729801	SRR18341112
Rothman 2021	PRJNA729801	SRR18341113
Rothman 2021	PRJNA729801	SRR18341114
Rothman 2021	PRJNA729801	SRR18341115
Rothman 2021	PRJNA729801	SRR18341116
Rothman 2021	PRJNA729801	SRR18341117
Rothman 2021	PRJNA729801	SRR18341118
Rothman 2021	PRJNA729801	SRR18341119
Rothman 2021	PRJNA729801	SRR18341120
Rothman 2021	PRJNA729801	SRR18341121
Rothman 2021	PRJNA729801	SRR18341122
Rothman 2021	PRJNA729801	SRR18341123
Rothman 2021	PRJNA729801	SRR18341124
Rothman 2021	PRJNA729801	SRR18341125
Rothman 2021	PRJNA729801	SRR18341126
Rothman 2021	PRJNA729801	SRR18341127
Rothman 2021	PRJNA729801	SRR18341128
Rothman 2021	PRJNA729801	SRR18341129
Rothman 2021	PRJNA729801	SRR18341130
Rothman 2021	PRJNA729801	SRR18341131
Rothman 2021	PRJNA729801	SRR18341132
Rothman 2021	PRJNA729801	SRR18341133
Rothman 2021	PRJNA729801	SRR18341134
Rothman 2021	PRJNA729801	SRR18341135
Rothman 2021	PRJNA729801	SRR18341136
Rothman 2021	PRJNA729801	SRR18341137
Rothman 2021	PRJNA729801	SRR21452135
Rothman 2021	PRJNA729801	SRR21452136
Rothman 2021	PRJNA729801	SRR21452137
Spurbeck 2023	PRJNA924011	SRR23083716
Spurbeck 2023	PRJNA924011	SRR23083718
Spurbeck 2023	PRJNA924011	SRR23083720
Spurbeck 2023	PRJNA924011	SRR23083722
Spurbeck 2023	PRJNA924011	SRR23083725
Spurbeck 2023	PRJNA924011	SRR23083727
Spurbeck 2023	PRJNA924011	SRR23083729
Spurbeck 2023	PRJNA924011	SRR23083731
Spurbeck 2023	PRJNA924011	SRR23083733
Spurbeck 2023	PRJNA924011	SRR23083734
Spurbeck 2023	PRJNA924011	SRR23083736
Spurbeck 2023	PRJNA924011	SRR23083738
Spurbeck 2023	PRJNA924011	SRR23083740
Spurbeck 2023	PRJNA924011	SRR23083742
Spurbeck 2023	PRJNA924011	SRR23083744
Spurbeck 2023	PRJNA924011	SRR23083747
Spurbeck 2023	PRJNA924011	SRR23083749
Spurbeck 2023	PRJNA924011	SRR23083751
Spurbeck 2023	PRJNA924011	SRR23083753
Spurbeck 2023	PRJNA924011	SRR23083755
Spurbeck 2023	PRJNA924011	SRR23083756
Spurbeck 2023	PRJNA924011	SRR23083758
Spurbeck 2023	PRJNA924011	SRR23083760
Spurbeck 2023	PRJNA924011	SRR23083762
Spurbeck 2023	PRJNA924011	SRR23083764
Spurbeck 2023	PRJNA924011	SRR23083766
Spurbeck 2023	PRJNA924011	SRR23083769
Spurbeck 2023	PRJNA924011	SRR23083771
Spurbeck 2023	PRJNA924011	SRR23083773
Spurbeck 2023	PRJNA924011	SRR23083775
Spurbeck 2023	PRJNA924011	SRR23083778
Spurbeck 2023	PRJNA924011	SRR23083780
Spurbeck 2023	PRJNA924011	SRR23083782
Spurbeck 2023	PRJNA924011	SRR23083784
Spurbeck 2023	PRJNA924011	SRR23083786
Spurbeck 2023	PRJNA924011	SRR23083787
Spurbeck 2023	PRJNA924011	SRR23083789
Spurbeck 2023	PRJNA924011	SRR23083790
Spurbeck 2023	PRJNA924011	SRR23083792
Spurbeck 2023	PRJNA924011	SRR23083794
Spurbeck 2023	PRJNA924011	SRR23083795
Spurbeck 2023	PRJNA924011	SRR23083797
Spurbeck 2023	PRJNA924011	SRR23083798
Spurbeck 2023	PRJNA924011	SRR23083799
Spurbeck 2023	PRJNA924011	SRR23083801
Spurbeck 2023	PRJNA924011	SRR23083804
Spurbeck 2023	PRJNA924011	SRR23083806
Spurbeck 2023	PRJNA924011	SRR23083808
Spurbeck 2023	PRJNA924011	SRR23083810
Spurbeck 2023	PRJNA924011	SRR23083813
Spurbeck 2023	PRJNA924011	SRR23083818
Spurbeck 2023	PRJNA924011	SRR23083820
Spurbeck 2023	PRJNA924011	SRR23083822
Spurbeck 2023	PRJNA924011	SRR23083823
Spurbeck 2023	PRJNA924011	SRR23083825
Yang 2020	PRJNA645711	SRR12204734
Yang 2020	PRJNA645711	SRR12204735
Yang 2020	PRJNA645711	SRR12204847
Yang 2020	PRJNA645711	SRR12204848
Yang 2020	PRJNA645711	SRR12204849
Yang 2020	PRJNA645711	SRR12204850
Yang 2020	PRJNA645711	SRR12204851
